Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
10.20.73.129,172.18.2.20,57110,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,58592,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,56589,53,17,0.00,0,131,1,131,109890764.80,131.00,838860.80,0.00,,->
10.20.73.129,10.64.77.10,62961,53,17,0.00,0,131,1,131,183151274.67,131.00,1398101.33,0.00,,->
10.20.73.129,172.16.0.100,57537,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,62923,53,17,0.00,0,131,1,131,137363456.00,131.00,1048576.00,0.00,,->
10.20.73.129,172.18.2.20,58070,53,17,0.00,0,131,1,131,0.00,131.00,0.00,0.00,,->
172.16.0.100,10.20.73.129,53,49458,17,0.00,0,213,1,213,223346688.00,213.00,1048576.00,0.00,,->
172.16.0.101,10.20.73.129,53,58592,17,0.00,0,213,1,213,223346688.00,213.00,1048576.00,0.00,,->
172.16.0.100,10.20.73.129,53,57537,17,0.00,0,179,1,179,150156083.20,179.00,838860.80,0.00,,->
172.16.0.101,10.20.73.129,53,62923,17,0.00,0,179,1,179,187695104.00,179.00,1048576.00,0.00,,->
10.20.73.129,18.197.242.41,63917,443,6,22.32,66,54,2,120,5.38,60.00,0.09,1.22,ACK,->
18.197.242.41,10.20.73.129,443,63917,6,22.30,151,66,2,217,9.73,108.50,0.09,2.29,ACK,->
10.20.73.129,208.111.40.216,57366,443,6,33.83,120,54,3,174,5.14,58.00,0.09,2.22,ACK,->
208.111.40.216,10.20.73.129,443,57366,6,33.82,159,66,3,225,6.65,75.00,0.09,2.41,ACK,->
10.20.73.129,172.18.3.20,52517,53,17,0.00,0,81,1,81,67947724.80,81.00,838860.80,0.00,,->
10.20.73.129,172.18.3.20,61525,53,17,0.00,0,81,1,81,0.00,81.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,60334,53,17,0.00,0,81,1,81,0.00,81.00,0.00,0.00,,->
10.20.73.129,172.16.0.101,62467,53,17,0.00,0,81,1,81,0.00,81.00,0.00,0.00,,->
10.20.73.129,10.64.76.10,60164,53,17,0.00,0,81,1,81,84934656.00,81.00,1048576.00,0.00,,->
10.20.73.129,10.64.77.10,59492,53,17,0.00,0,81,1,81,0.00,81.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,62087,53,17,0.00,0,81,1,81,84934656.00,81.00,1048576.00,0.00,,->
